text,label
bbc idan bakuda abin posting ku saka mana hoton buhari mu zazzageshi mana,negative
aci uban su baba,negative
zan bashi shawarar hukunta duk wani mai sa hannu cikin wannan zanga zangar ta hanyar tsige shi daga matsayinshi idan yana cikin ikon wannan gwamnati idan kuma yan zaman banza ne to kawaii a harbeshi tinda byan son zaman lafiya,negative
wai rayuwar nan takoma cewa musulinci daban akin musulmin daban i mean both daga talakawan zuwa masu shugabancin wani shirman ma hankali baya dauka hmmmm wai kishi kuma wai tabun hankali to muyi mekenan da‍️ mahaukatan cikin mu da suke yawo,negative
da iyaye zasu gane cewar yin makarantar boko a najeriya scam ce da sun daina kai yaran su,negative
kwadayi ya yiwa yan najeriya yawa tunda ankasa sayen naman shanu sai na kwado,negative
ansamu canji na karin kudi ba wai nikam gomnatin nigeria satan da suke bai ishe su bane just asking,negative
banda abun baba bai gama cika wasu ba yana kuma dorawa kansa wasu,negative
yan bura uba zaku gane shayi ruwa ne sai munci durin uwarku idan allah ya kaimu shaggu matsiyata nayi nadamar zaben wannan azzalumin har sau biyu,negative
akwai sharri to yaushe aka kafa dokar kai jamaa,negative
sai ka duba comments dinnan zaka tabbatar baa son ganduje wlhy,negative
yar shegiya you see what your stupidity cause yar tsinan niya akwai wanda sunfiki iskanci a duniya amma basuxo social media sunyi ba wlh yadda natsaneki yanxu ban tsani buhari ba wlh shegiya mai katon baki,negative
dan allah ku daina kawo mana irin wadannan labarun haushin shi buharin duk kashe kashe da ake yi a arewa yataba yin wata maganar,negative
baba yace sunchi banza,negative
wato idan na fahimta dai ganduje mugun dan bakin cikine wallahi baida wanda yake damunsa a zuciya kamar kwankwaso allah shi rabamu da shugabanni jahilai da mabiya wawaye,negative
taya gwamnati xata saki wanda yake kokarin yi mata juyin milki,negative
ai tukunna ma ba kun manta da allah ba kunce sai buhari jiki magayi bakuga komai ba baayiwa allah kinshiya a zauna lafiya hmmm,negative
haha to idan buhari ya mutu fa ya zakai,negative
ah dama bamuyi tsammani jin wani abu dg gare ka b bnd wnnn sbd kae shugaba ne baza ka goyi bayan taaddanci vh aekin bnxa hk kake so muce ko rrr wollah ace mum bbu abinda ya iya sae duba lpr shanu,negative
wallahi tallahi ni ban raayinai amma saboda jamaa mafi yawa sun yardada cewa zai kimantawa talakkawa akan haka nizzabeshi har so amma yasani yashirya wa tambayoyi mutun miliyan agaban ubangiji wlh daya bayan daya,negative
waaii da abba gida gida anbashi zabensa da aka kwacegashi yanzu zaai gwajin corona gidagidakambalai dakaji sharri a social media ji zakai anacewa ashe gidagidan da ake nufi kenan yanzu saiku fassara mana,negative
wai nikam kubarmu da buhari yakashemu pls naga kuma kunada takura habaa da wanne zamuji,negative
duk wanda ya turawa rarara koh rariya neh ma sunan nashi kudi a kan a yiwa buhari waka kuma talaka na neman kudin abinci toh wlh ban yafe,negative
