text,label
wannan shine gaskiyar lamari domin siyasar nigeria sai mai hankali zai zabi atiku wllh,positive
kai kalli mutanen arewa abun farin ciki yasamu amma kalli like yayi karanci amma da abun sukan shugaban kasa daga likes dayawato allah yasaka da alheri shugaba buhari,positive
masha allah gaskiya bamabamai sundinatash mungudiwa allah amma baba kakara dubawa anachiki yanayi yunwa gaskiya,positive
baba aiki yayi kyau allah ubangiji ya saka maka da kwatankwacin abinda kayiwa yan nigeria,positive
hahaha allah yasa dai harda naka baba gandollar,positive
duk dokar daza susa susa amma talaka yana cikin wani hali har yanzu basa maganar ya talakawa suke kwana saidai ya zaa kara matse talaka wama tashauna illa an yasha allahu rabbul alamin da allah muka dogara,positive
wannan abun ya wuce siyasa innal muslimu akkul muslimumusulmi dan uwan musulmine dan allah mudinga sashi a addua allah yabaiyanashi,positive
innalillahi wainna ilaihirajiun ya ubangiji ba dan muba dan halin mu ba allah mun tuba ka kawowa kasar mu zaman lfy ya allah ana kashe mutanen da basu ji baba su gani ba allah ka sassauta manaya allah duk wanda yake da sa hannun a kisan nan allah ka wulakanta shi,positive
idan hakane kuwa allah yasawa baba da alkhairi,positive
allah kabamu shuwa gabanni masu sonmu a najeriya,positive
wannan doka tayi kyau dafatan kasata ma zatayi koyi dasu,positive
hhhh original i baya buya allah ya karawa baba lafiya da nisan kwanaya kuma kare shi daga sharri masu hassada da zubbace zubbace ameen thumma ameenmuch love mrpresident sir in u we trust again insha allah fatan alkairi,positive
allah ya taya ka riko ya shugaba,positive
masha allah jinjina zuwa ga mai girma gwamnan jihar borno farfesa babagana umar zulum allah ya taimaki mai taimako allah ya kare mana kai khadimul ummah din talakawan jahar borno fatan alkhairi babagana umar zulum khadimul ummah,positive
the most popular hausa man in the world i dey salute oga kawai ka fito takarar shugaban kasa kaga kai ke da arewa,positive
sai masu gida baba ya kapaa tarihi,positive
namu ba kalan nasu bane allah ya maka shugaban qasa ranka ya dade wishs you all the best,positive
ehh mana allah y karawa baba lpy,positive
allah ya kawomana karshen wannan masifakuma muna fatan gwamnati zatayi duk mai yuwuwa gorin kamo masu hannu awannandakuma hukuntasudomin kaucewa faruwan haka a gaba allah ya kyauta,positive
kar a manta a taho mana da tsaraba baba,positive
allah yah idda nufi baba yayi maka jagora ameen summa ameen,positive
baba ganduje mun gode baba ganduje mun gode ah mun gode baba ganduje mun gode baba gandu ina goggo agayamata mungode baba ganduje mun gode‍️‍️‍️ karota songs,positive
duk sanda naga irin wannan labari ina murna da kokarin irin wanna mutane sannan ina tausayawa shugabanninmu domin yawancin su basa tsoron haduwa da ubangijinmu allah ya isar mana,positive
muna godiya baba allah ya yaye manaa wannan annoba baki daya,positive
allah ya kara miki kaunan shi da ikon kulawa dashi har allah ya rabaku lfya mukuma allah ya jikan namu baban,positive
kai masu wanwar baba ganduje,positive
ya kyauta aie tunda su ba yan najeriya bane,positive
alhamdulillah plash back kaura ne governor a bauchi baba allah yamaka jagora,positive
nifa ina goyon baya hala alkhairi ke tafe da alama joy is coming apc +,positive
farin tsoho mai farar zuciya mai farar aniya mai farin alkhairi mu zamfarawa bamu taba mantawa dakai baba allah ya biyaka da gidan aljanna firdausi,positive
babuhari yayi alkawarin kwatosuba,positive
allah ya gafarta maka baba ladan ya sa aljannace makomar ka ameen ya hayyum ya qayyum,positive
lallai subaba ansamu kudi ️,positive
allah bani mukamin shugaban gidan jaridar rariya na sauke wanda ya kawo wannan tambayar ita nake yi,positive
aminu a gaskiya nakan jidadin wakokinka musamman aisha kamar ni kaiwa saka makon sunan mahaifiya tane aisha da kuma baba ina zakane allah ya kara basira,positive
sarkin ganduje in action,positive
wannan gwamnati ta kyauta wlh,positive
president buhari duk wanda yayyi mai kyau ya gani mai kyau yan najeriya sundauki yardarsu sunbakah allah kawomana zaman lafiya a najeriya ameen,positive
wannan yayi daidai da fatan dokar za ta tabbata yadda ya kamata ba sani ba sabo ️,positive
shugaban kasa namu gwamna namu sarki namu munci gari if you know you know,positive
hmmmmmmm hau ka tafi oga labarina yana tafiya yanda akeso wannan ka rabu dashi son a san yayi sug president neh kurum amma labarina yana yanda ake so,positive
innalillahi waina rajiu ya allah kana ganin irin halin da muke ciki ya allah kawo mana sauki da rangomi ku kuma shugaban nin mu kusani allah ne ya baku milki kuma a lokacin da yake so ya karbi milk sa babu makawa sai ya karba kuma wllh zaku hade da allah dole kuyi bayani,positive
nidaikam muna buharirokon mushine allah ya shigemasa gaba ameen thuma ameen,positive
baba manjo aikin ka na kyau my people please stay safe corona virus is realaciga ba da wanke hanu stay safe and dont forget always wear your face mask,positive
allah tabbatar wa gida najeriya alkhairi,positive
allahu akbar allah ya jikansu baba,positive
baba a gwara kasa muna goyan bayan ka allah yadaga najeria amin,positive
ya allah kayafe mana tunanin da mukeyi nace wa buhari me gaskiyane,positive
haka yayi dai dai haka nakesan kasata nigeria tadawo basani ba sabo kowa ya taka doka to a hukuntashi ba wani siyasa allah yakara shigemn gaba,positive
gabadai gabadai trump wish you won the election,positive
allah sarki allah ya taimaka babaneman nakai yafi maula,positive
yaro ya fito babansa sak allah ya musu gafara baki daya,positive
baba buhari ikon allah kana tareda nasara insha allah,positive
allah yarabamu da gwamnatin ayan wariyar launin fata,positive
hakika indian gwamnati tana baiwa jamian tsaro dama aikinsu yadda yakamata zaa samu saukin insha allah ️,positive
ai fa️ baban su️de kabada himma oga qasannan dai kamar mu fita insha allah,positive
agaskia kisan yayi yawa sannan abi haushinma shine mininster n tsaro wai daga zamfara yake yayi shiru padan gwamnati ma shiru kakeji shima dai toh shikenan allah yakawo muku dauki amiin,positive
ahar kulun soyayyar baba buharin mu karuwa takeyi azuciyar talaka,positive
allah yajikan tsohon shugaban kasa ta tandja mamadou da rahama amin somma amin,positive
shi yasa a nake yinka kasan ya kamata allah baka nasara a zabe mai zuwa allah yasa kaine zaka share mana hawayen mu allah yasa su dauki shawarar da kabasu baban mu mai goya talakawa da marayu,positive
ai kaduna garin gomna munyi dacen jajirtaccen gomna,positive
gwamnatin mai gaskiya kenan,positive
aibashine nakoraba kawai har kaema yakamata kakori kanka da sauran yan majalisar baki daya kai harma da gwamnoni baki daya sbd komi naku gudanae allah kawomuna shuwagabanni adillae,positive
kai a yan kwanakin nan fa hannun mai girma shugaban kasa muhammadu buhari a bude yake kyauta kawai yakeyi nima allah ya tsaga da rabona saura kuma wani yacemun nai bara,positive
ba komai baba allah yasa mudace,positive
allah yakarawa rayuwa albarka baba buhari,positive
ydg fatan alheri ga iyalan shugaba buhari mungode allah da ya dawo mana dashi lfy da ana cewa bazai dawo ba sai dai gawan sa,positive
ina so a tattauna dani a matsayina na future president of nigeria insha allah,positive
allah yakara lpy da nisan kwana baba zullum,positive
